Favorite,Activity Name,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Avg Run Cadence,Calories,Training Effect,
false,Recovery Run,"Sun, 22 Dec 2013 9:37",59:51,7.01,355,8:32,149,157,--,702,3.2,
false,Long Run,"Sat, 21 Dec 2013 8:04",1:44:51,13.14,602,7:59,155,165,--,"1,289",4.1,
false,Recovery Run,"Fri, 20 Dec 2013 8:01",45:52,5.37,323,8:32,151,160,--,574,3.5,
false,Fartleks,"Thu, 19 Dec 2013 9:44",53:12,6.79,219,7:50,160,169,--,721,4.4,
false,Untitled,"Wed, 18 Dec 2013 7:47",1:03:52,8.08,370,7:54,158,167,--,859,4.5,
false,Long Run,"Sat, 14 Dec 2013 7:43",1:29:36,11.07,314,8:06,154,163,--,"1,159",4.0,
false,Tempo Run,"Fri, 13 Dec 2013 7:15",34:16,4.50,171,7:37,158,168,--,428,4.5,
false,Recovery Run,"Thu, 12 Dec 2013 7:08",1:01:24,7.16,457,8:34,--,--,--,--,--,
false,Fartleks,"Wed, 11 Dec 2013 6:51",56:15,7.11,401,7:55,--,--,--,--,--,
false,Manually entered,"Tue, 10 Dec 2013 7:41",53:12,6.67,390,8:00,--,--,--,--,--,
false,Long Run*,"Sun, 8 Dec 2013 8:17",1:40:48,12.46,"228",8:06,153,169,86,"1,183",3.4,
false,Untitled,"Fri, 6 Dec 2013 6:59",40:50,5.24,285,7:47,158,165,88,518,4.0,
false,Recovery Run (windy!),"Thu, 5 Dec 2013 7:48",1:00:33,6.87,441,8:49,155,164,85,749,4.1,
false,Trail Run,"Wed, 4 Dec 2013 8:27",1:04:16,7.02,898,9:09,159,170,84,840,4.7,
false,Untitled,"Tue, 3 Dec 2013 7:28",41:20,5.23,362,7:54,159,167,88,553,4.1,
false,Long Run,"Sun, 1 Dec 2013 11:09",1:26:20,10.65,749,8:07,162,172,86,"1,157",5.0,
false,Short Tempo Run,"Fri, 29 Nov 2013 10:07",23:06,3.12,190,7:25,162,172,90,293,4.0,
false,Recovery Run,"Thu, 28 Nov 2013 7:02",1:06:12,7.57,417,8:45,153,165,86,817,3.5,
